Skill,Question,OptionA,OptionB,OptionC,OptionD,Answer
JQUERY,Which statement is true?,"To use jQuery, you must buy the jQuery library at www.jquery.com","To use jQuery, you do not have to do anything. Most browsers (Internet Explorer, Chrome, Firefox and Opera) have the jQuery library built in the browser","To use jQuery, you can refer to a hosted jQuery library at Google",,"To use jQuery, you must buy the jQuery library at www.jquery.com"
JQUERY,What scripting language is jQuery written in?,VBScript,Javascript,c#,c++,Javascript
JQUERY,"Which jQuery function is used to prevent code from running, before the has finished loading?",$(document).load(),$(document).ready(),$(body).onload(),,$(body).onload()
JQUERY,Which jQuery method should be used to deal with name conflicts?,noNameConflict(),noConflict(),nameConflict(),conflict(),conflict()
JQUERY,Which jQuery method is used to switch between adding/removing one or more classes (for CSS) from selected elements?,toggleClass(),switch(),altClass(),switchClass(),switchClass()
JQUERY,"Look at the following jQuery selector: $(""div#intro .head""). What does it select?","The first element with id=""head"" inside any div element with class=""intro""","All elements with class=""head"" inside the first div element with id=""intro""","All div elements with id=""intro"" or class=""head""",,"All div elements with id=""intro"" or class=""head"""
JQUERY,Is jQuery a W3C standard?,Yes,No,,,Yes
JQUERY,"Which statement best explains what ""unobtrusive JavaScript"" is?",JavaScript that doesn't annoy users,JavaScript that is separate from HTML,JavaScript that does not affect a web page,JavaScript that works even with scripting turned off,JavaScript that is separate from HTML
JQUERY,Which of these is NOT a valid comment in JavaScript?,// This is a comment,/* This is a comment. */,/* This is a comment,.<!-- This is a comment.,/* This is a comment
JQUERY,How do you use JavaScript within CoffeeScript code?,Use the JavaScript keyword,Wrap the code in <script> tags,Wrap the code in backticks or grave accents [`],You can't embed JavaScript code within CoffeeScript,Wrap the code in backticks or grave accents [`]
JQUERY,"In JavaScript, we can keep a reference to the context outside a function by assigning it to a variable: var self = this. In CoffeeScript, we use:",self = this printScope -> console.log self,printScope => console.log @,printScope => console.log this,All of the above,All of the above.
JQUERY,"What is the correct JavaScript syntax to write ""Hello World""?","document.write(""Hello World"")","(""Hello World"")","response.write(""Hello World"")",Hello World,"document.write(""Hello World"")"
JQUERY,jQuery is a...,JavaScript library,Ruby gem,PHP Framework,None of the above,JavaScript library
JQUERY,jQuery's main focus is..,AJAX,DOM Manipulation,Animations,All of the above,All of the above
JQUERY,$.foo() is equivalent to..,javascript.foo(),document.foo(),jQuery.foo(),None of the above,jQuery.foo()
JQUERY,Can jQuery be used on the same page alongside other libraries?,Yes,No,,,Yes
JQUERY,"var ps = $(""p""); ps will be..",A linked list,A hash or dictionary,An array,A jQuery object,A jQuery object
.NET FRAMEWORK,Which of the following is not a .NET compatible language?,C#,J#,VB.NET,Java ,Java 
.NET FRAMEWORK,Common language specification(CLS),is an execution engine for all .net application,,is similar to JVM as in Java,defines standard rules for defining .Net compliant languages,is similar to JVM as in Java
.NET FRAMEWORK,What is CTS in .NET?,Defines rules concerning data types,Defines a set of rules for all compilers to generate manage code for .NET,Describes a set of features that different languages have in common,None of the above,Defines rules concerning data types
.NET FRAMEWORK,Which Types are supported by CTS?,Value type,Reference Type,Both,,Both
.NET FRAMEWORK,Which of the following statment is not correct?,CLR is an execution engine of .NET,Assembly is a logical unit of deployment,CLR executes manage code,.Net provides cross language interoperability using code access security,.Net provides cross language interoperability using code access security
.NET FRAMEWORK,Content of assembly can be viewed using,ILDASM.exe,ILDASM.dll,ILDASM.inc,ILDASM.aspx,ILDASM.exe
.NET FRAMEWORK,using or Imports statement,allows references to members of a namespace without using the fully qualified name,use to reference an external library,,,use to reference an external library
.NET FRAMEWORK,Which of the following is not true about .Net structure?,structures are value types,structures use new keyword upon instantiation,structures can have events as member,structures are reference types,structures are reference types
.NET FRAMEWORK,Can we control when a destructor is called?,Yes,No,,,No
.NET FRAMEWORK,Which of the following is not true for garbage collection?,It manages the reclamation of unused memory,It deals with circular references,You can be certain when an object will be reclaimed by garbage collector,It disposes unreferenced objects,You can be certain when an object will be reclaimed by garbage collector
.NET FRAMEWORK,JIT compiler is a part of the runtime execution environment,Yes,No,,,Yes
.NET FRAMEWORK,Which of the following is not true for .NET exception?,All exceptions in .NET are derived from Exception base class,Exceptions canít be generated programmatically,We have system exceptions and application exceptions in .NET,,We have system exceptions and application exceptions in .NET
.NET FRAMEWORK,What is strong name?,It is similar to GUID in COM,It is required when we need to deploy assembly in GAC,It helps GAC to differentiate between tow versions,All of the above,All of the above
.NET FRAMEWORK,Which of the following does the actual .Net code execute?,CLS,MSIL,CTS,CLR,CLR
.NET FRAMEWORK,When does Garbage collector run?,Every one minute,When application is running low of memory,It runs randomly,,When application is running low of memory
.NET FRAMEWORK,Which tool can be used to precompile a window application?,ngen.exe,caspol.exe,caspol.dll,ngen.dll,ngen.exe
.NET FRAMEWORK,.Net remote server object must implement,ISingleCall,ISerializable,IUnknown,IMarshalByValue,ISerializable
.NET FRAMEWORK,Limitation of XML serialization,It doesnít serialize type information,It can't serialize DataSet objects,It canít serialize XMLNode object,All of the above,It doesnít serialize type information
.NET FRAMEWORK,Which of the CLR component allows .net application exchange data with COM application?,Base class library,COM marshaller,Class loader,Thread support,COM marshaller
SQL,Table Employee has 10 records. It has a non-NULL SALARY column which is also UNIQUE. The SQL statement  SELECT COUNT(*) FROM Employee WHERE SALARY > ANY (SELECT SALARY FROM EMPLOYEE); prints?,10,9,5,0,9
SQL,"The SQL statement SELECT SUBSTR('123456789', INSTR('abcabcabc', 'b'), 4) FROM DUAL;",6789,2345,1234,456789,2345
SQL,Which of the following query finds the names of the sailors who have reserved at least one boat?,"SELECT DISTINCT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;","SELECT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;","SELECT DISTINCT s.sname FROM sailors, reserves WHERE s.sid = r.sid;",None of the above,"SELECT DISTINCT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;"
SQL,Find all the cities whose humidity is 89,SELECT city WHERE humidity = 89;,SELECT city FROM weather WHERE humidity = 89;,SELECT humidity = 89 FROM weather;,SELECT city FROM weather;,SELECT city FROM weather WHERE humidity = 89;
SQL,Which of the following is illegal?,SELECT SYSDATE - SYSDATE FROM DUAL;,SELECT SYSDATE - (SYSDATE - 2) FROM DUAL;,SELECT SYSDATE - (SYSDATE + 2) FROM DUAL;,None of the above,None of the above
SQL,"If a query involves NOT, AND, OR with no parenthesis",NOT will be evaluated first; AND will be evaluated second; OR will be evaluated last.,NOT will be evaluated first; OR will be evaluated second; AND will be evaluated last.,AND will be evaluated first; OR will be evaluated second; NOT will be evaluated last.,The order of occurrence determines the order of evaluation.,NOT will be evaluated first; AND will be evaluated second; OR will be evaluated last.
SQL,The SELECT statement SELECT 'Hi' FROM DUAL WHERE NULL = NULL; Outputs,Hi,FALSE,TRUE,nothing,nothing
SQL,.............. joins two or more tables based on a specified column value not equaling a specified column value in another table.,EQUIJOIN,NON-EQUIJOIN,OUTER JOIN,NATURAL JOIN,NON-EQUIJOIN
SQL,NULL is,the same as 0 for integer,the same as blank for character,the same as 0 for integer and blank for character,not a value,not a value
SQL,"When three or more AND and OR conditions are combined, it is easier to use the SQL keyword(s):",NOT IN only.,LIKE only.,IN ONLY,BOTH IN AND NOT IN,BOTH IN AND NOT IN
SQL,What is an SQL virtual table that is constructed from other tables?,view,a relation,just another table,query results ,view
SQL,Which of the following is a valid SQL type?,character,numeric,float,all of the above,all of the above
SQL,AS' clause is used in SQL for,Selection operation,rename opertion,join operation,projection operation,rename operation
PHP,"What will be the output of the following PHP code? < ?php echo ""chr(52)"";?>",1,2,3,4,4
PHP,Which of following variables can be assigned a value to it?,$3hello,$Hello,$this,$This,"b,d"
PHP,What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,"a,b "
PHP,What's the output of this code $a = 10; unset($a); echo $a;,10,0,No value is returned,all of the above,No value is returned
PHP,"What will be the output of the following code?  < ?php  $foo = 'Bob';   $bar = &$foo;  $bar = ""My name is $bar"";  echo $bar; echo $foo; ?>",Error,My name is BobBob,My name is BobMy name is Bob,My name is Bob Bob ,My name is BobMy name is Bob
PHP,"What will be the output of the following PHP code?  < ?php $total = ""25 students""; $more = 10; $total = $total + $more; echo ""$total"" ; ?>",Error,35 students,35,25 students,35
NoSQL,Point out the wrong statement :,Non Relational databases require that schemas be defined before you can add data,NoSQL databases are built to allow the insertion of data without a predefined schema,NewSQL databases are built to allow the insertion of data without a predefined schema,All of the mentioned,Non Relational databases require that schemas be defined before you can add data
NoSQL,Which of the following operation adds a new document to the users collection ?,add,insert,truncate,drop,insert
NoSQL,MongoDB stores all documents in ,tables,collection,rows,All of the mentioned,collection
NoSQL,Which of the following preference determines how the client direct read operations to the set ?,read,write,update,delete,read
NoSQL,MongoDB process collection of documents using _________ operations.,Hbase,Hive,Map-reduce,None of the mentioned,Map-reduce
NoSQL,The Pig Latin scripting language is not only a higher-level data flow language but also has operators similar to,SQL,JSON,XML,All of the mentioned,SQL
NoSQL,A ________ node acts as the Slave and is responsible for executing a Task assigned to it by the JobTracker,MapReduce,Mapper,TaskTracker,JobTracker,TaskTracker
NoSQL,_________ function is responsible for consolidating the results produced by each of the Map() functions/task,Reduce,Map ,Reducer,All of the mentioned,Reduce
NoSQL,__________ maps input key/value pairs to a set of intermediate key/value pairs.,Mapper,Reducer,Mapper and reducer,None of the mentioned,Mapper
NoSQL,The number of maps is usually driven by the total size of :,inputs,outputs,tasks,None of the mentioned,inputs
NoSQL,_________ is the default Partitioner for partitioning key space.,HashPar,Partitioner,HashPartitioner,None of the mentioned,HashPartitioner
