Skill,Question,OptionA,OptionB,OptionC,OptionD,Answer
Microsoft .NET Frameworks,What is strong name?,It is similar to GUID in COM,It is required when we need to deploy assembly in GAC,It helps GAC to differentiate between tow versions,All of the above,All of the above
Microsoft .NET Frameworks,Which of the following does the actual .Net code execute?,CLS,MSIL,CTS,CLR,CLR
Microsoft .NET Frameworks,When does Garbage collector run?,Every one minute,When application is running low of memory,It runs randomly,,When application is running low of memory
Microsoft .NET Frameworks,Which tool can be used to precompile a window application?,ngen.exe,caspol.exe,caspol.dll,ngen.dll,ngen.exe
Microsoft .NET Frameworks,.Net remote server object must implement,ISingleCall,ISerializable,IUnknown,IMarshalByValue,ISerializable
Microsoft .NET Frameworks,Limitation of XML serialization,It doesnít serialize type information,It can't serialize DataSet objects,It canít serialize XMLNode object,All of the above,It doesnít serialize type information
Microsoft .NET Frameworks,Which of the CLR component allows .net application exchange data with COM application?,Base class library,COM marshaller,Class loader,Thread support,COM marshaller
SQL,Table Employee has 10 records. It has a non-NULL SALARY column which is also UNIQUE. The SQL statement  SELECT COUNT(*) FROM Employee WHERE SALARY > ANY (SELECT SALARY FROM EMPLOYEE); prints?,10,9,5,0,9
SQL,"The SQL statement SELECT SUBSTR('123456789', INSTR('abcabcabc', 'b'), 4) FROM DUAL;",6789,2345,1234,456789,2345
SQL,Which of the following query finds the names of the sailors who have reserved at least one boat?,"SELECT DISTINCT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;","SELECT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;","SELECT DISTINCT s.sname FROM sailors, reserves WHERE s.sid = r.sid;",None of the above,"SELECT DISTINCT s.sname FROM sailors s, reserves r WHERE s.sid = r.sid;"
SQL,Find all the cities whose humidity is 89,SELECT city WHERE humidity = 89;,SELECT city FROM weather WHERE humidity = 89;,SELECT humidity = 89 FROM weather;,SELECT city FROM weather;,SELECT city FROM weather WHERE humidity = 89;
SQL,Which of the following is illegal?,SELECT SYSDATE - SYSDATE FROM DUAL;,SELECT SYSDATE - (SYSDATE - 2) FROM DUAL;,SELECT SYSDATE - (SYSDATE + 2) FROM DUAL;,None of the above,None of the above
SQL,"If a query involves NOT, AND, OR with no parenthesis",NOT will be evaluated first; AND will be evaluated second; OR will be evaluated last.,NOT will be evaluated first; OR will be evaluated second; AND will be evaluated last.,AND will be evaluated first; OR will be evaluated second; NOT will be evaluated last.,The order of occurrence determines the order of evaluation.,NOT will be evaluated first; AND will be evaluated second; OR will be evaluated last.
SQL,The SELECT statement SELECT 'Hi' FROM DUAL WHERE NULL = NULL; Outputs,Hi,FALSE,TRUE,nothing,nothing
SQL,.............. joins two or more tables based on a specified column value not equaling a specified column value in another table.,EQUIJOIN,NON-EQUIJOIN,OUTER JOIN,NATURAL JOIN,NON-EQUIJOIN
SQL,NULL is,the same as 0 for integer,the same as blank for character,the same as 0 for integer and blank for character,not a value,not a value
SQL,"When three or more AND and OR conditions are combined, it is easier to use the SQL keyword(s):",NOT IN only.,LIKE only.,IN ONLY,BOTH IN AND NOT IN,BOTH IN AND NOT IN
SQL,What is an SQL virtual table that is constructed from other tables?,view,a relation,just another table,query results ,view
SQL,Which of the following is a valid SQL type?,character,numeric,float,all of the above,all of the above
SQL,AS' clause is used in SQL for,Selection operation,rename opertion,join operation,projection operation,rename operation
NoSQL,Point out the wrong statement :,Non Relational databases require that schemas be defined before you can add data,NoSQL databases are built to allow the insertion of data without a predefined schema,NewSQL databases are built to allow the insertion of data without a predefined schema,All of the mentioned,Non Relational databases require that schemas be defined before you can add data
NoSQL,Which of the following operation adds a new document to the users collection ?,add,insert,truncate,drop,insert
NoSQL,MongoDB stores all documents in ,tables,collection,rows,All of the mentioned,collection
NoSQL,Which of the following preference determines how the client direct read operations to the set ?,read,write,update,delete,read
NoSQL,MongoDB process collection of documents using _________ operations.,Hbase,Hive,Map-reduce,None of the mentioned,Map-reduce
NoSQL,The Pig Latin scripting language is not only a higher-level data flow language but also has operators similar to,SQL,JSON,XML,All of the mentioned,SQL
NoSQL,A ________ node acts as the Slave and is responsible for executing a Task assigned to it by the JobTracker,MapReduce,Mapper,TaskTracker,JobTracker,TaskTracker
NoSQL,_________ function is responsible for consolidating the results produced by each of the Map() functions/task,Reduce,Map ,Reducer,All of the mentioned,Reduce
NoSQL,__________ maps input key/value pairs to a set of intermediate key/value pairs.,Mapper,Reducer,Mapper and reducer,None of the mentioned,Mapper
NoSQL,The number of maps is usually driven by the total size of :,inputs,outputs,tasks,None of the mentioned,inputs
NoSQL,_________ is the default Partitioner for partitioning key space.,HashPar,Partitioner,HashPartitioner,None of the mentioned,HashPartitioner
C++,Which classes allow primitive types to be accessed as objects?,Storage,Virtual ,Friend ,Wrapper,Wrapper
C++,Which of the following library function below by default aborts the program?,terminate(),end(),abort(),exit(),terminate()
C++,How do we define a constructor?,X~(){},X(){}~,X()~{},~X(){},~X(){}
C++,What is deep copy?,A deep copy creates a copy of the dynamically allocated objects too.,A deep copy just copies the values of the data as they are.,A deep copy creates a copy of the statically allocated objects too,Both b and c,A deep copy creates a copy of the dynamically allocated objects too.
Python,"Given a string s = ""Welcome"", which of the following code is incorrect?",print(s[0]),print(s.lower()),s[1]='r',print(s.strip()),s[1]='r'
Python,What is round(6.5),4,5,6,7,6
Python,Which of the following create a dictionary?,d={},"d={john:40,""peter"":45}","d={40:""john"",45:""peter""}","d={40:""john"",45:""peter""}",Both a and b.
Python, The keyword __________ is required to define a class. ,Defines rules concerning data types,return ,Class loader,All of the Above,class
Practical extraction and reporting language Perl, my $val = 'x'; print ref($val);  What does the above piece of code print ?,SCALAR,empty value,STRING,"""not a reference""",empty value
Practical extraction and reporting language Perl,my $val = {}; print ref($val); What does the above piece of code print ?,empty value ,ARRAY,HASH,SCALAR,HASH
Practical extraction and reporting language Perl,"my @a = (0, 1, 2); my $b = @a; print $b;",0,1,2,3,3
Practical extraction and reporting language Perl,"my $val = bless {}, 'MyClass'; print ref($val);",TRUE,MyClass,0,1,MyClass
R,Choose the data objects in R from the following choices,vectors ,lists ,arrays,All of the above,All of the above
R,Which function is used to load and read a csv file?,read.csv(),read(),reader.csv(),readcsv(),read.csv()
R,Output of runif(4),Random numbers between 0 and 1,Random numbers,Random numbers between 0 and 4,None of the above,Random numbers between 0 and 1
R,Which function is used to transpose matrix in R ?,transpose(),transpose.matrix(),t(),trans(),t()
Verilog,Is Verilog case sensitive ?,TRUE,FALSE,MayBe,None of the Above,TRUE
Verilog,Reserved words in Verilog are ?,beginmodule and endmodule,begin and end ,beginmod and endmod,None of the above,begin and end
Verilog,ì2íb1x == 2íb1x;î has a ìtrueî return value.,TRUE,FALSE,MayBe,None of the above,FALSE
Verilog,An if statement must always be inside in a always block. State True or False,TRUE,FALSE,MayBe,None of the Above,FALSE
Cascading Style Sheets CSS,Where in an HTML document is the correct place to refer to an external style sheet?,In the <head> section,At the top of the document,In the <body> section,At the end of the document,In the <head> section
Cascading Style Sheets CSS,Which HTML tag is used to define an internal style sheet?,<style>,<strong>,<script>,<css>,<style>
Cascading Style Sheets CSS,How do you change the text color of an element?,color;,text-color;,text-color=;,fgcolor;,text-color=;
Cascading Style Sheets CSS,How do you change the font of an element?,font;,font-family;,font-fam;,None of the above,font-family;
Extensible markup language XML,Is it easier to process XML than HTML?,yes ,no ,Sometimes,Cant Say,yes
Extensible markup language XML,Kind of Parsers are,well-formed,well-documented,non validating and validating,None of the above,non validating and validating
Extensible markup language XML,Comment in XML document is given by,<?-- -->,<!-- --!>,<!-- -->,</-- -->,</-- -->
Extensible markup language XML,Which of the following strings are a correct XML name?,xmlExtenstion,xslNewElement,XMLELEMENT,None of the above,xslNewElement
Oracle Java,"You want subclasses in any package to have access to members of a superclass.
  Which is the most restrictive access that accomplishes this objective?
",public,private,protected,transient,protected
Oracle Java,What is the name of the method used to start a thread execution?,init();,start();,run();,resume();,start();
Oracle Java,What is the numerical range of a char?,-128 to 127,-(215) to (215) - 1,0 to 32767,0 to 65535,0 to 65535
Oracle Java,Which one is a valid declaration of a boolean?,boolean b1 = 0;,boolean b2 = 'false';,boolean b3 = false;,boolean b4 = Boolean.false();,boolean b3 = false;
Oracle Java,Which of the following is/are advantages of packages?,Packages avoid name clashes,"Classes, even though they are visible outside their package, can have fields visible to packages only","We can have hidden classes that are used by the packages, but not visible outside.",All of the above,All of the above
Oracle Java,"Which will legally declare, construct, and initialize an array?","int [] myList = {""1"", ""2"", ""3""};","int [] myList = (5, 8, 2);","int myList [] [] = {4,9,7,0};","int myList [] = {4, 3, 7};","int myList [] = {4, 3, 7};"
Oracle Java,"Which class or interface defines the wait(), notify(),and notifyAll() methods?",Object,,Runnable,Class,Object
Oracle Java,Which of the following is not an operator in Java?,instanceof,sizeof,new,.>>>=,sizeof
Enterprise resource planning ERP system software,The number of units projected to be available at the end of each time period refers to,net requirements,scheduled receipts,the projected usage of the item,the amount projected to be on hand,the amount projected to be on hand
Enterprise resource planning ERP system software,Demand for a given item is said to be dependent if,the item has several children,there is a deep bill of materials,the finished products are mostly services ,there is a clearly identifiable parent,there is a clearly identifiable parent
Enterprise resource planning ERP system software,A master production schedule specifies,the financial resources required for production,"what component is to be made, and when","what product is to be made, and when",the labor hours required for production,"what product is to be made, and when"
Enterprise resource planning ERP system software,A master production schedule contains information about,quantities and required delivery dates of all sub-assemblies,quantities and required delivery dates of final products,inventory on hand for each sub-assembly,inventory on hand for each final product,quantities and required delivery dates of final products
Enterprise resource planning ERP system software,The minimum record accuracy required for successful MRP is approximately,lower than 90%,90%,95%,99%,99%
Assembler,Which development tool / program has the potential to allocate the specific addresses so as to load the object code into memory?,Loader,Locator,Library,Linker,Locator
Assembler,The assembler list file generated by an assembler mainly includes ________,binary codes,assembly language statements,offset for each instruction,all of the above,all of the above
Assembler,What kind of address/es is /are usually assigned to program by the linker adopted in an execution of assembler?,Absolute Address,Relative Address starting from unity,Relative Addresss starting from zero,None of the above,Relative Addresss starting from zero
Assembler,What are the major form of functionalities associated to high-level language compilers?,Generation of an application program,Conversion of generated code from higher level language to machine-level language,Both a & b,None of the above,Both a & b
Assembler,EPROM Programming versions are of greater significance to designers for ________,Debugging of hardware prototype,Debugging of software prototype,Loading the programs in microcontrollers,All of the above,All of the above
Assembler,Which operations are not feasible to perform by simulator programs in accordance to real time programming?,Memory Operations,I/ O Operations,Register Operations,Debugging Operations,I/ O Operations
Assembler,What is/are the possible way/s of displaying the data by logic analyzer ?,Logic state format,Hexadecimal & Map format,Timing diagram format,All of the above,All of the above
Assembler,Which mandatory contents can be visualized by the hexadecimal display format of a logic analyzer?,Data Bus,Address Bus,Both a & b,None of the above,Both a & b
UNIX,Which of the following commands is used to display the directory attributes rather than its contents?,ls -l -d,ls -l,ls -x,ls -F,ls -l -d
UNIX,Which command is used to extract specific columns from the file?,cat,cut,grep,paste,cut
UNIX,Which of the following files will displayed by this command cat *ch*,patch,catch,.ch,All of the above,All of the above
UNIX,Which symbol is used to separate more than one command in the same command line?,$,#,:,;,;
Linux,Which command is used to set terminal IO characteristic?,tty,ctty,ptty,stty,stty
Linux,The command ìmknod myfifo b 4 16î,Will create a block device if user is root,Will create a block device for all users,Will creat FIFO if user is not root,None of the above,Will create a block device if user is root
Linux,Using which command you find resource limits to the session?,rlimit,ulimit,setrlimit,getrlimit,ulimit
Linux,Which command is used to display the operating system name,os,Unix,kernel,uname,uname
Apache Cassandra,Cassandra uses a protocol called _______ to discover location and state information,gossip,intergoss,goss,none of the above,gossip
Apache Cassandra,Client-to-node encryption protects data in flight from client machines to a database cluster using :,SSL,SSH,SSN,none of the above,SSL
Apache Cassandra,Internal authentication stores usernames and bcrypt-hashed passwords in the ____________ table.,system_auth.creds,system_auth.credentials,system.credentials,sys_auth.creds,system_auth.credentials
Apache Cassandra,"For each SSTable, Cassandra creates _________ index .",memory,partition,in memory,all of the above,partition
